Player,AV,Age,Pos
Brett Keisel,6,35,RDE
Brett Keisel,3,36,DE
Kingsley Keke,1,23,DE
Kingsley Keke,5,24,RDE
Kingsley Keke,3,25,RDE
Chris Kelsay,2,24,DE
Chris Kelsay,6,25,LDE
Chris Kelsay,6,26,LDE
Chris Kelsay,8,27,LDE
Chris Kelsay,7,28,LDE
Chris Kelsay,7,29,LDE
Chris Kelsay,8,30,LDE
Chris Kelsay,2,33,DE
Devon Kennard,3,29,DE
Devon Kennard,2,30,DE
Ryan Kerrigan,7,23,RDE
Ryan Kerrigan,3,32,DE
Ryan Kerrigan,2,33,DE
Darius Kilgo,1,24,DE
Darius Kilgo,1,25,DE
Darius Kilgo,1,27,DE
Kenny King,1,22,DE
Mathias Kiwanuka,5,23,RDE
Mathias Kiwanuka,9,25,RDE
Mathias Kiwanuka,3,26,RDE
Mathias Kiwanuka,6,30,RDE
Mathias Kiwanuka,5,31,LDE
Paul Kruger,1,23,DE
Paul Kruger,1,24,DE
Paul Kruger,2,25,DE
Paul Kruger,5,30,LDE
Travis LaBoy,2,23,DE
Travis LaBoy,4,24,RDE
Travis LaBoy,4,25,RDE
Travis LaBoy,2,26,DE
Travis LaBoy,5,27,RDE
Travis LaBoy,2,29,DE
Austen Lane,3,23,RDE
Austen Lane,3,25,RDE
Kendall Langford,6,22,LDE
Kendall Langford,5,23,LDE
Kendall Langford,8,24,LDE
Kendall Langford,6,25,LDE
Kendall Langford,3,28,DE
Kendall Langford,7,29,LDE
Justin Lawler,1,24,DE
Manny Lawson,2,30,DE
Corey Lemonier,1,22,DE
Corey Lemonier,1,23,DE
Corey Lemonier,1,24,DE
Corey Lemonier,1,25,DE
Sean Lissemore,2,24,DE
Sean Lissemore,3,26,DE
Corey Liuget,5,21,RDE
Corey Liuget,8,22,RDE
Corey Liuget,7,23,RDE
Corey Liuget,8,24,RDE
Corey Liuget,5,25,RDE
Corey Liuget,7,26,RDE/LDE
Chris Long,6,23,RDE
Chris Long,3,24,DE
Chris Long,9,25,LDE
Chris Long,7,26,LDE
Chris Long,8,27,LDE
Chris Long,8,28,LDE
Chris Long,3,30,LDE
Chris Long,6,31,LDE
Chris Long,3,32,DE
Chris Long,2,33,DE
Erik Lorig,1,24,DE
Aaron Lynch,3,21,DE
Aaron Lynch,3,25,DE
Aaron Lynch,1,26,DE
Aaron Lynch,1,27,DE
Josh Mallard,2,23,DE
Josh Mallard,2,27,DE
Josh Mallard,1,28,DE
Stansly Maponga,1,22,DE
Stansly Maponga,1,23,DE
Sen'Derrick Marks,7,26,RDE
Cassius Marsh,2,23,DE
Cassius Marsh,3,24,DE
Cassius Marsh,3,25,DE
Cassius Marsh,3,26,DE
Cassius Marsh,2,27,DE
Cassius Marsh,1,28,DE
Kareem Martin,2,22,DE
Kareem Martin,2,23,DE
Kareem Martin,1,24,DE
Vaughn Martin,5,25,LDE
Vaughn Martin,5,26,LDE
Jonathan Massaquoi,1,24,DE
Jonathan Massaquoi,3,25,DE
Jonathan Massaquoi,2,26,DE
Ricardo Mathews,3,25,RDE
Ricardo Mathews,3,29,LDE
Robert Mathis,2,22,DE
Robert Mathis,3,23,DE
Robert Mathis,3,24,DE
Robert Mathis,7,25,LDE
Robert Mathis,6,26,LDE
Robert Mathis,7,27,DE
Robert Mathis,7,28,LDE
Robert Mathis,10,29,LDE
Robert Mathis,7,30,LDE
Cliff Matthews,1,23,DE
Cliff Matthews,1,24,DE
Aaron Maybin,1,21,DE
Aaron Maybin,1,22,DE
Aaron Maybin,2,23,DE
Aaron Maybin,1,24,DE
Ryan McBean,6,25,LDE
Turk McBride,4,23,LDE
Turk McBride,4,25,RDE
Shea McClellin,2,23,DE
Shea McClellin,4,24,LDE
Shea McClellin,4,27,DE
Stanley McClover,1,23,DE
Gerald McCoy,6,31,LDE
Bobby McCray,5,23,LDE
Bobby McCray,3,24,DE
Bobby McCray,8,25,LDE/RDE
Bobby McCray,4,26,LDE
Bobby McCray,5,27,LDE
Bobby McCray,1,28,DE
Ray McDonald,1,23,DE
Ray McDonald,4,24,LDE
Ray McDonald,3,25,DE
Ray McDonald,2,26,DE
Ray McDonald,9,27,LDE
Ray McDonald,7,28,LDE
Ray McDonald,7,29,LDE
Ray McDonald,7,30,LDE
Jerome McDougle,1,25,DE
Jerome McDougle,1,26,DE
Jerome McDougle,1,28,DE
Stacy McGee,5,27,LDE
Takkarist McKinley,2,22,DE
Takkarist McKinley,4,23,RDE
Takkarist McKinley,6,24,LDE
Takkarist McKinley,2,26,DE
David McMillan,1,25,DE
David McMillan,1,26,DE
Pernell McPhee,3,23,DE
Pernell McPhee,4,24,RDE
Pernell McPhee,2,25,DE
Pernell McPhee,2,26,DE
Pernell McPhee,1,28,DE
Pernell McPhee,3,29,DE
Pernell McPhee,1,30,DE
Pernell McPhee,1,33,DE
Steven Means,1,23,DE
Steven Means,1,26,DE
Steven Means,2,28,DE
Steven Means,5,30,LDE
Henry Melton,2,24,DE
Henry Melton,3,28,DE
Henry Melton,2,29,DE
Whitney Mercilus,3,22,DE
Whitney Mercilus,1,31,DE
Phillip Merling,3,23,DE
Phillip Merling,2,24,DE
Phillip Merling,1,26,DE
Brian Mihalik,4,25,DE
Jeremy Mincey,3,27,LDE
Jeremy Mincey,10,28,RDE
Jeremy Mincey,7,29,LDE
Jeremy Mincey,1,30,DE
Jeremy Mincey,7,31,RDE
Jeremy Mincey,3,32,RDE/LDE
Fili Moala,3,27,RDE
Fili Moala,4,28,RDE
Mike Montgomery,4,25,RDE
Damontre Moore,1,21,DE
Damontre Moore,2,22,DE
Damontre Moore,1,23,DE
Damontre Moore,1,28,DE
Eric Moore,1,24,DE
Kyle Moore,1,23,DE
Kyle Moore,3,26,RDE
Zach Moore,1,24,DE
Zach Moore,2,28,DE
Derrick Morgan,5,22,LDE
Derrick Morgan,6,23,LDE
Derrick Morgan,7,24,LDE
Quentin Moses,1,25,DE
Quentin Moses,1,26,DE
Quentin Moses,2,27,DE
Avery Moss,2,23,DE
Avery Moss,2,25,LDE
Jarvis Moss,1,24,DE
Jarvis Moss,1,27,DE
Trent Murphy,6,28,LDE
Trent Murphy,12,29,LDE
Trent Murphy,5,30,LDE
Carl Nassib,2,23,DE
Carl Nassib,5,24,LDE/RDE
Carl Nassib,5,25,LDE
Carl Nassib,3,27,LDE
Carl Nassib,1,28,DE
Haloti Ngata,7,23,RDE
Haloti Ngata,12,25,LDE
Haloti Ngata,17,26,LDE
Haloti Ngata,19,27,LDE
Haloti Ngata,13,28,LDE
Haloti Ngata,6,30,LDE
Rob Ninkovich,2,25,DE
Rob Ninkovich,9,28,LDE
Rob Ninkovich,9,29,LDE
Rob Ninkovich,10,30,LDE
Rob Ninkovich,9,31,LDE
Owamagbe Odighizuwa,1,24,DE
Antwan Odom,3,23,LDE
Antwan Odom,5,24,RDE
Antwan Odom,8,26,LDE
Antwan Odom,4,27,RDE
Jared Odrick,5,24,LDE
Jared Odrick,7,25,LDE
Jared Odrick,7,28,RDE
Alex Okafor,2,25,DE
Alex Okafor,5,26,RDE
Alex Okafor,7,27,RDE
Alex Okafor,4,28,LDE
Alex Okafor,1,29,DE
Alex Okafor,1,30,DE
Melvin Oliver,5,23,RDE
Igor Olshansky,7,22,RDE
Igor Olshansky,5,23,RDE
Igor Olshansky,6,24,RDE
Igor Olshansky,8,25,LDE
Igor Olshansky,6,26,LDE
Igor Olshansky,7,27,RDE
Igor Olshansky,5,28,RDE
Nate Orchard,2,24,DE
Calvin Pace,5,23,RDE
Calvin Pace,2,24,DE
Jeoffrey Pagan,1,21,DE
Anton Palepoi,1,24,DE
Anton Palepoi,2,26,DE
Elton Patterson,1,23,DE
Julius Peppers,8,22,LDE
Julius Peppers,9,23,LDE
Julius Peppers,15,24,LDE
Julius Peppers,13,25,LDE
Julius Peppers,18,26,LDE
Julius Peppers,7,27,LDE
Julius Peppers,13,28,RDE
Julius Peppers,15,29,RDE
Julius Peppers,18,30,RDE
Julius Peppers,12,31,RDE
Julius Peppers,17,32,RDE
Julius Peppers,6,33,RDE
Julius Peppers,4,37,LDE
Julius Peppers,4,38,RDE
Nick Perry,3,24,DE
Nick Perry,2,25,DE
Greg Peterson,2,23,DE
Kenny Peterson,1,26,DE
Kenny Peterson,6,31,RDE
Kenneth Pettway,1,25,DE
Kenneth Pettway,1,26,DE
Shaun Phillips,2,23,DE
Shaun Phillips,3,24,DE
Shaun Phillips,7,32,RDE
Shaun Phillips,1,33,DE
Jason Pierre-Paul,3,21,DE
Jason Pierre-Paul,14,22,RDE
Jason Pierre-Paul,10,23,RDE
Jason Pierre-Paul,4,24,RDE
Jason Pierre-Paul,9,25,RDE
Jason Pierre-Paul,3,26,RDE
Jason Pierre-Paul,7,27,LDE
Jason Pierre-Paul,7,28,LDE
Jason Pierre-Paul,8,29,RDE
Ty Powell,1,26,DE
Robert Quinn,2,21,DE
Robert Quinn,7,22,RDE
Robert Quinn,16,23,RDE
Robert Quinn,12,24,RDE
Robert Quinn,4,25,RDE
Robert Quinn,4,26,RDE
Robert Quinn,6,28,RDE
Robert Quinn,8,29,RDE
B.J. Raji,6,27,LDE
Jay Ratliff,2,25,DE
Cory Redding,1,23,DE
Cory Redding,7,24,LDE
Cory Redding,7,25,LDE
Cory Redding,7,26,RDT/LDE
Cory Redding,3,29,DE
Cory Redding,7,30,RDE
Cory Redding,7,31,RDE
Cory Redding,6,32,LDE
Cory Redding,7,33,LDE
Cory Redding,7,34,LDE
Cory Redding,2,35,DE
Brooks Reed,4,29,LDE
Brooks Reed,6,30,LDE
Brooks Reed,3,31,RDE
Nick Reed,2,22,DE
Nick Reed,1,24,DE
Kendall Reyes,7,24,LDE
Kendall Reyes,6,25,LDE
Kendall Reyes,7,26,LDE
Jay Richardson,5,23,LDE
Jay Richardson,5,24,LDE
Jay Richardson,1,25,DE
Sheldon Richardson,13,23,RDE
Sheldon Richardson,11,24,RDE
Sheldon Richardson,4,31,RDT/RDE
Ryan Riddle,1,24,DE
Alton Robinson,1,22,DE
Alton Robinson,2,23,DE
Brian Robison,4,24,RDE
Brian Robison,2,25,DE
Brian Robison,2,26,DE
Brian Robison,3,27,DE
Brian Robison,6,28,LDE
Brian Robison,7,29,LDE
Brian Robison,7,30,LDE
Brian Robison,7,31,LDE
Brian Robison,8,32,LDE
Brian Robison,8,33,LDE
Brian Robison,2,34,DE
Matt Roth,2,23,DE
Matt Roth,3,24,DE
Matt Roth,4,25,LDE
Matt Roth,5,29,LDE
Ahtyba Rubin,6,27,LDE
Frostee Rucker,3,25,DE
Frostee Rucker,2,26,DE
Frostee Rucker,2,27,DE
Frostee Rucker,6,28,RDE
Frostee Rucker,7,29,RDE
Frostee Rucker,2,30,DE
Frostee Rucker,5,31,RDE
Frostee Rucker,6,32,RDE
Frostee Rucker,2,33,DE
Frostee Rucker,7,34,RDE
Frostee Rucker,5,35,LDE
Ryan Russell,1,24,DE
Ryan Russell,3,25,DE
Bo Schobel,1,24,DE
Bo Schobel,1,25,DE
Darrion Scott,1,23,DE
Darrion Scott,7,24,LDE/RDE
Darrion Scott,7,25,LDE
Trevor Scott,2,24,DE
Trevor Scott,4,26,RDE
Trevor Scott,1,27,DE
Trevor Scott,2,28,DE
Greg Scruggs,1,22,DE
George Selvie,2,23,DE
George Selvie,1,24,DE
George Selvie,1,25,DE
George Selvie,6,26,LDE
George Selvie,6,27,LDE
George Selvie,2,28,DE
Matt Shaughnessy,2,23,DE
Matt Shaughnessy,5,24,RDE
Matt Shaughnessy,6,26,RDE
Jabaal Sheard,9,22,LDE
Jabaal Sheard,8,23,LDE
Jabaal Sheard,3,26,DE
Jabaal Sheard,6,27,RDE
Jabaal Sheard,9,29,LDE/RDE
Jabaal Sheard,5,30,RDE
Jabaal Sheard,2,31,DE
Lawrence Sidbury,2,23,DE
Lawrence Sidbury,2,25,DE
Lawrence Sidbury,1,26,DE
John Simon,1,24,DE
John Simon,2,28,DE
John Simon,11,29,RDE
John Simon,9,30,RDE
Eugene Sims,5,29,RDE
Eugene Sims,5,30,RDE
Aldon Smith,3,22,DE
Aldon Smith,8,31,RDE
Antonio Smith,4,24,RDE
Antonio Smith,4,25,RDE
Antonio Smith,7,26,LDE
Antonio Smith,5,27,LDE
Antonio Smith,8,28,LDE
Antonio Smith,6,29,LDE
Antonio Smith,11,30,RDE
Antonio Smith,8,31,RDE
Antonio Smith,7,32,RDE
Antonio Smith,2,34,DE
Antonio Smith,1,35,DE
Chris Smith,2,25,DE
Chris Smith,2,26,DE
Chris Smith,1,27,DE
Chris Smith,1,28,DE
Quanterus Smith,1,25,DE
Will Smith,4,23,DE
Will Smith,6,24,LDE
Will Smith,11,25,RDE
Will Smith,8,26,RDE
Will Smith,7,27,RDE
Will Smith,8,28,RDE
Will Smith,7,29,RDE
Will Smith,6,31,RDE
Paul Soliai,5,32,RDE
Scott Solomon,1,24,DE
Scott Solomon,1,26,DE
Isaac Sopoaga,8,28,LDE
Isaac Sopoaga,7,29,LDE
Marcus Spears,6,22,LDE
Marcus Spears,6,23,LDE
Marcus Spears,6,24,LDE
Marcus Spears,7,25,LDE
Marcus Spears,7,26,LDE
Marcus Spears,3,27,LDE
Marcus Spears,3,28,RDE
Marcus Spears,3,29,LDE
Anthony Spencer,1,24,DE
Anthony Spencer,2,30,DE
Randy Starks,7,26,RDE
Randy Starks,10,27,RDE
Randy Starks,9,28,RDE
Ed Stinson,2,24,DE
Ed Stinson,2,25,DE
Jason Strowbridge,1,24,DE
Terrell Suggs,10,23,RDE
Terrell Suggs,13,24,RDE/LOLB
Ndamukong Suh,9,32,LDE
Ndamukong Suh,8,33,LDE
Ndamukong Suh,8,34,LDE
Will Sutton,4,24,LDE
Darryl Tapp,3,22,DE
Darryl Tapp,9,23,RDE
Darryl Tapp,6,24,LDE
Darryl Tapp,4,25,RDE
Darryl Tapp,3,26,DE
Darryl Tapp,2,27,DE
Darryl Tapp,1,28,DE
Darryl Tapp,1,29,DE
Darryl Tapp,2,30,DE
Darryl Tapp,2,31,DE
Darryl Tapp,2,32,DE
Devin Taylor,2,24,DE
Devin Taylor,2,25,DE
Devin Taylor,2,26,DE
Devin Taylor,7,27,LDE
Daniel Te'o-Nesheim,7,26,RDE
Daniel Te'o-Nesheim,4,27,LDE
Bryan Thomas,1,23,DE
Bryan Thomas,5,24,RDE
Bryan Thomas,5,25,RDE
Bryan Thomas,3,26,DE
Bryan Thomas,8,27,RDE
Cam Thomas,4,28,RDE
Chad Thomas,5,24,LDE
Marcus Thomas,5,26,RDE
Jeremy Thompson,1,23,DE
Dave Tollefson,2,26,DE
Dave Tollefson,1,27,DE
Dave Tollefson,1,28,DE
Dave Tollefson,2,29,DE
Dave Tollefson,1,30,DE
Justin Tuck,2,22,DE
Justin Tuck,4,24,DE
Justin Tuck,19,25,LDE
Justin Tuck,6,26,LDE
Justin Tuck,15,27,LDE
Justin Tuck,5,28,LDE
Justin Tuck,6,29,LDE
Justin Tuck,9,30,LDE
Justin Tuck,6,31,LDE
Stephon Tuitt,3,21,DE
Stephon Tuitt,8,22,RDE
Stephon Tuitt,7,23,RDE
Stephon Tuitt,6,24,RDE
Stephon Tuitt,7,25,RDE
Stephon Tuitt,9,27,DE
Derrek Tuszka,1,24,DE
Derrek Tuszka,1,25,DE
Kenechi Udeze,5,21,RDE
Kenechi Udeze,8,23,RDE
Kenechi Udeze,7,24,LDE
Osi Umenyiora,2,22,DE
Osi Umenyiora,6,23,RDE
Osi Umenyiora,17,24,RDE
Osi Umenyiora,5,25,RDE
Osi Umenyiora,12,26,RDE
Osi Umenyiora,5,28,RDE
Osi Umenyiora,13,29,RDE
Osi Umenyiora,3,30,RDE
Osi Umenyiora,3,31,DE
Osi Umenyiora,6,32,RDE
Osi Umenyiora,2,33,DE
Demetrin Veal,2,24,DE
Demetrin Veal,2,25,DE
David Veikune,1,24,DE
Olivier Vernon,8,23,RDE
Olivier Vernon,6,24,RDE
Olivier Vernon,7,25,RDE
Olivier Vernon,14,26,RDE
Olivier Vernon,5,27,RDE
Olivier Vernon,5,29,RDE
Olivier Vernon,6,30,RDE
Kevin Vickerson,4,27,LDE
Erik Walden,1,23,DE
Erik Walden,1,24,DE
Erik Walden,2,25,DE
Erik Walden,6,29,RDE
Erik Walden,6,30,RDE
Erik Walden,2,32,DE
Vance Walker,6,26,LDT/LDE
Matt Walters,1,24,DE
DeMarcus Ware,5,31,RDE
DeMarcus Ware,10,32,RDE
Ty Warren,8,23,LDE
Ty Warren,7,24,LDE
Ty Warren,11,25,LDE
Ty Warren,8,26,LDE
Ty Warren,7,27,LDE
Ty Warren,7,28,LDE
Adolphus Washington,5,22,RDE
J.J. Watt,10,22,LDE
J.J. Watt,19,23,LDE
J.J. Watt,17,24,LDE
J.J. Watt,23,25,LDE
J.J. Watt,21,26,RDE
J.J. Watt,17,29,LDE
J.J. Watt,4,30,LDE
J.J. Watt,7,31,LDE
J.J. Watt,6,33,DE
Stephen Weatherly,5,24,RDE
Stephen Weatherly,4,26,RDE
Anthony Weaver,7,22,LDE
Anthony Weaver,9,23,LDE
Anthony Weaver,9,24,LDE
Anthony Weaver,5,25,LDE
Anthony Weaver,6,26,LDE
Anthony Weaver,5,27,LDE
Anthony Weaver,6,28,LDE
Bjoern Werner,2,23,DE
Bjoern Werner,1,25,DE
Guy Whimper,1,23,DE
Guy Whimper,1,24,DE
Guy Whimper,2,30,DE
Dewayne White,2,24,DE
Dewayne White,4,25,DE
Dewayne White,4,26,DE
Dewayne White,5,27,RDE
Dewayne White,6,28,RDE/LDE
Dewayne White,4,29,RDE
Dewayne White,2,30,RDE
Stylez G. White,3,28,DE
Stylez G. White,3,29,DE
Stylez G. White,4,30,RDE
Stylez G. White,6,31,RDE
Vince Wilfork,11,29,LDE
Jimmy Wilkerson,1,22,DE
Jimmy Wilkerson,1,23,DE
Jimmy Wilkerson,2,24,DE
Jimmy Wilkerson,2,25,DE
Jimmy Wilkerson,2,26,DE
Jimmy Wilkerson,3,27,DE
Jimmy Wilkerson,6,28,LDE
Jimmy Wilkerson,2,29,DE
Muhammad Wilkerson,8,22,LDE
Muhammad Wilkerson,9,23,LDE
Muhammad Wilkerson,13,24,LDE
Muhammad Wilkerson,6,25,LDE
Muhammad Wilkerson,16,26,LDE
Muhammad Wilkerson,7,27,RDE
Muhammad Wilkerson,6,28,RDE
Brandon Williams,6,28,LDE
Brandon Williams,12,29,LDE
Brandon Williams,7,30,LDE
Corey Williams,7,28,LDE
Kevin Williams,7,23,LDE
Kyle Williams,9,33,LDE
Mario Williams,6,21,RDE
Mario Williams,11,22,RDE
Mario Williams,10,23,RDE
Mario Williams,11,24,RDE
Mario Williams,5,25,RDE
Mario Williams,7,27,LDE
Mario Williams,13,28,RDE
Mario Williams,19,29,LDE
Mario Williams,7,30,LDE
Mario Williams,3,31,RDE
Melvin Williams,2,24,DE
Sam Williams,2,24,DE
Sam Williams,2,27,DE
Sam Williams,2,28,DE
Sam Williams,2,29,DE
Sam Williams,1,30,DE
Tim Williams,1,24,DE
Jordan Willis,1,27,DE
C.J. Wilson,2,23,DE
C.J. Wilson,2,24,DE
C.J. Wilson,3,25,RDE
C.J. Wilson,1,26,DE
C.J. Wilson,4,27,RDE
C.J. Wilson,2,28,DE
Kamerion Wimbley,6,29,RDE
Kamerion Wimbley,2,30,DE
Billy Winn,4,25,LDE
Derek Wolfe,8,22,LDE
Derek Wolfe,5,23,LDE
Derek Wolfe,7,24,LDE
Derek Wolfe,7,25,LDE
Derek Wolfe,7,26,LDE
Derek Wolfe,5,27,LDE
Derek Wolfe,8,28,LDE
Derek Wolfe,7,29,RDE
Derek Wolfe,5,30,RDE
LaMarr Woodley,1,23,DE
Corey Wootton,5,25,LDE
Corey Wootton,2,27,DE
Jason Worilds,2,22,DE
Jason Worilds,3,24,DE
Jarius Wynn,1,23,DE
Jarius Wynn,1,24,DE
Jarius Wynn,3,25,DE
Jarius Wynn,1,27,DE
Jarius Wynn,2,28,DE
Willie Young,1,26,DE
Willie Young,1,27,DE
Willie Young,8,28,RDE
Willie Young,4,29,LDE
Anthony Zettel,1,24,DE
Anthony Zettel,7,25,LDE
Anthony Zettel,1,26,DE
Jabari Zuniga,1,23,DE
