Player,Y/P,Age,Pos,-9999
Dustin Colquitt,39.4,23,P,ColqDu20
Dustin Colquitt,44.3,24,P,ColqDu20
Dustin Colquitt,45.5,25,P,ColqDu20
Dustin Colquitt,44.4,26,P,ColqDu20
Dustin Colquitt,45.4,27,P,ColqDu20
Dustin Colquitt,44.4,28,P,ColqDu20
Dustin Colquitt,45.9,29,P,ColqDu20
Dustin Colquitt,46.8,30,P,ColqDu20
Dustin Colquitt,46.0,31,P,ColqDu20
Dustin Colquitt,44.6,32,P,ColqDu20
Dustin Colquitt,44.4,33,P,ColqDu20
Dustin Colquitt,45.1,34,P,ColqDu20
Dustin Colquitt,45.2,35,P,ColqDu20
Dustin Colquitt,44.9,36,P,ColqDu20
Dustin Colquitt,44.3,37,P,ColqDu20
Dustin Colquitt,44.5,39,P,ColqDu20
Matt Dodge,44.8,23,P,DodgMa99
Lac Edwards,43.1,24,P,EdwaLa01
Lac Edwards,46.6,25,P,EdwaLa01
Lac Edwards,45.9,26,P,EdwaLa01
Lac Edwards,45.9,27,P,EdwaLa01
Lac Edwards,47.9,29,P,EdwaLa01
Brandon Fields,43.2,23,P,FielBr20
Brandon Fields,43.9,24,P,FielBr20
Brandon Fields,46.3,25,P,FielBr20
Brandon Fields,46.2,26,P,FielBr20
Brandon Fields,48.8,27,P,FielBr20
Brandon Fields,50.2,28,P,FielBr20
Brandon Fields,48.8,29,P,FielBr20
Brandon Fields,46.3,30,P,FielBr20
Reggie Hodges,37.4,23,P,HodgRe20
Reggie Hodges,42.8,26,P,HodgRe20
Reggie Hodges,39.7,27,P,HodgRe20
Reggie Hodges,43.9,28,P,HodgRe20
Reggie Hodges,41.8,30,P,HodgRe20
Sterling Hofrichter,42.5,24,P,HofrSt00
Kevin Huber,43.2,24,P,HubeKe20
Kevin Huber,42.1,25,P,HubeKe20
Kevin Huber,44.2,26,P,HubeKe20
Kevin Huber,46.6,27,P,HubeKe20
Kevin Huber,45.2,28,P,HubeKe20
Kevin Huber,46.8,29,P,HubeKe20
Kevin Huber,45.8,30,P,HubeKe20
Kevin Huber,46.3,31,P,HubeKe20
Kevin Huber,46.6,32,P,HubeKe20
Kevin Huber,43.9,33,P,HubeKe20
Kevin Huber,45.3,34,P,HubeKe20
Kevin Huber,47.2,35,P,HubeKe20
Kevin Huber,46.4,36,P,HubeKe20
Kevin Huber,43.2,37,P,HubeKe20
Eddie Johnson,39.1,22,P,JohnEd22
Donnie Jones,43.5,25,P,JoneDo21
Donnie Jones,42.8,26,P,JoneDo21
Donnie Jones,47.2,27,P,JoneDo21
Donnie Jones,50.0,28,P,JoneDo21
Donnie Jones,46.8,29,P,JoneDo21
Donnie Jones,45.5,30,P,JoneDo21
Donnie Jones,44.3,31,P,JoneDo21
Donnie Jones,47.2,32,P,JoneDo21
Donnie Jones,44.9,33,P,JoneDo21
Donnie Jones,43.8,34,P,JoneDo21
Donnie Jones,47.0,35,P,JoneDo21
Donnie Jones,45.8,36,P,JoneDo21
Donnie Jones,45.3,37,P,JoneDo21
Donnie Jones,42.3,38,P,JoneDo21
Drew Kaser,46.3,23,P,KaseDr00
Drew Kaser,48.1,24,P,KaseDr00
Sam Koch,43.0,24,P,KochSa20
Sam Koch,43.6,25,P,KochSa20
Sam Koch,45.0,26,P,KochSa20
Sam Koch,43.7,27,P,KochSa20
Sam Koch,43.6,28,P,KochSa20
Sam Koch,46.5,29,P,KochSa20
Sam Koch,47.1,30,P,KochSa20
Sam Koch,46.0,31,P,KochSa20
Sam Koch,47.4,32,P,KochSa20
Sam Koch,46.7,33,P,KochSa20
Sam Koch,45.8,34,P,KochSa20
Sam Koch,44.8,35,P,KochSa20
Sam Koch,47.4,36,P,KochSa20
Sam Koch,46.4,37,P,KochSa20
Sam Koch,44.5,38,P,KochSa20
Sam Koch,44.4,39,P,KochSa20
Andy Lee,41.6,22,P,LeexAn20
Andy Lee,41.6,23,P,LeexAn20
Andy Lee,44.8,24,P,LeexAn20
Andy Lee,47.3,25,P,LeexAn20
Andy Lee,47.8,26,P,LeexAn20
Andy Lee,47.6,27,P,LeexAn20
Andy Lee,46.2,28,P,LeexAn20
Andy Lee,50.9,29,P,LeexAn20
Andy Lee,48.1,30,P,LeexAn20
Andy Lee,48.2,31,P,LeexAn20
Andy Lee,46.8,32,P,LeexAn20
Andy Lee,46.7,33,P,LeexAn20
Andy Lee,49.1,34,P,LeexAn20
Andy Lee,47.3,35,P,LeexAn20
Andy Lee,48.6,36,P,LeexAn20
Andy Lee,47.8,37,P,LeexAn20
Andy Lee,44.8,38,P,LeexAn20
Andy Lee,49.0,39,P,LeexAn20
Andy Lee,47.1,40,P,LeexAn20
Jeff Locke,44.2,24,P,LockJe00
Jeff Locke,44.2,25,P,LockJe00
Jeff Locke,41.6,26,P,LockJe00
Jeff Locke,42.6,27,P,LockJe00
Zoltan Mesko,43.2,24,P,MeskZo99
Zoltan Mesko,46.5,25,P,MeskZo99
Zoltan Mesko,43.1,26,P,MeskZo99
Brad Nortman,43.0,23,P,NortBr00
Brad Nortman,47.8,24,P,NortBr00
Brad Nortman,44.9,25,P,NortBr00
Brad Nortman,45.4,26,P,NortBr00
Brad Nortman,46.6,27,P,NortBr00
Brad Nortman,44.1,28,P,NortBr00
Pat O'Donnell,43.8,23,P,ODonPa00
Pat O'Donnell,44.2,24,P,ODonPa00
Pat O'Donnell,44.0,25,P,ODonPa00
Pat O'Donnell,47.0,26,P,ODonPa00
Pat O'Donnell,45.0,27,P,ODonPa00
Pat O'Donnell,44.8,28,P,ODonPa00
Pat O'Donnell,45.7,29,P,ODonPa00
Pat O'Donnell,46.2,30,P,ODonPa00
Pat O'Donnell,44.5,31,P,ODonPa00
Ryan Plackemeier,45.0,22,P,PlacRy20
Ryan Plackemeier,40.0,23,P,PlacRy20
Ryan Plackemeier,41.5,24,P,PlacRy20
Adam Podlesh,41.6,24,P,PodlAd20
Adam Podlesh,43.2,25,P,PodlAd20
Adam Podlesh,41.9,26,P,PodlAd20
Adam Podlesh,43.8,27,P,PodlAd20
Adam Podlesh,43.9,28,P,PodlAd20
Adam Podlesh,42.0,29,P,PodlAd20
Adam Podlesh,40.6,30,P,PodlAd20
B.J. Sander,39.2,25,P,SandB.20
Mike Scifres,43.1,24,P,ScifMi20
Mike Scifres,43.7,25,P,ScifMi20
Mike Scifres,41.9,26,P,ScifMi20
Mike Scifres,46.1,27,P,ScifMi20
Mike Scifres,45.7,28,P,ScifMi20
Mike Scifres,45.0,29,P,ScifMi20
Mike Scifres,46.7,30,P,ScifMi20
Mike Scifres,47.5,31,P,ScifMi20
Mike Scifres,48.3,32,P,ScifMi20
Mike Scifres,43.2,33,P,ScifMi20
Mike Scifres,45.7,34,P,ScifMi20
Mike Scifres,45.3,35,P,ScifMi20
Daniel Sepulveda,42.4,23,P,SepuDa20
Daniel Sepulveda,42.7,25,P,SepuDa20
Daniel Sepulveda,45.5,26,P,SepuDa20
Daniel Sepulveda,46.1,27,P,SepuDa20
Johnny Townsend,43.2,23,P,TownJo01
Dave Zastudil,41.6,24,P,ZastDa20
Dave Zastudil,41.0,25,P,ZastDa20
Dave Zastudil,40.4,26,P,ZastDa20
Dave Zastudil,43.5,27,P,ZastDa20
Dave Zastudil,44.0,28,P,ZastDa20
Dave Zastudil,41.8,29,P,ZastDa20
Dave Zastudil,45.5,30,P,ZastDa20
Dave Zastudil,44.7,31,P,ZastDa20
Dave Zastudil,45.2,33,P,ZastDa20
Dave Zastudil,46.5,34,P,ZastDa20
Dave Zastudil,45.7,35,P,ZastDa20