Player,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Mike Adams,,,3.0,5.0,3.0,,1.0,,,,,,,,,,,,,,
Branden Albert,,,,,6.0,5.0,6.0,5.0,3.0,7.0,5.0,8.0,5.0,,,,,,,,
Stacy Andrews,,,,,1.0,3.0,8.0,4.0,2.0,,2.0,,,,,,,,,,
Sam Baker,,,,3.0,8.0,8.0,4.0,10.0,,,,,,,,,,,,,
Joe Barksdale,,,,1.0,,7.0,7.0,8.0,7.0,6.0,2.0,,,,,,,,,,
Khalif Barnes,,,,7.0,9.0,10.0,8.0,,3.0,8.0,4.0,6.0,4.0,1.0,,,,,,,
Alex Barron,,,,6.0,8.0,6.0,5.0,4.0,1.0,,,,,,,,,,,,
Will Beatty,,,,,4.0,2.0,5.0,8.0,6.0,8.0,,,,,,,,,,,
Tony Bergstrom,,,,,,,1.0,,,2.0,1.0,2.0,,,,,,,,,
Jordan Black,,,,,4.0,6.0,7.0,1.0,,2.0,5.0,,1.0,,,,,,,,
Charles Brown,,,,,4.0,3.0,8.0,,1.0,,,,,,,,,,,,
Jammal Brown,,,,,5.0,15.0,9.0,13.0,,6.0,6.0,,,,,,,,,,
Levi Brown,,,,6.0,9.0,8.0,5.0,7.0,,,,,,,,,,,,,
Bryan Bulaga,,7.0,9.0,5.0,,9.0,6.0,10.0,,6.0,8.0,5.0,,,,,,,,,
Jermon Bushrod,,,,,,9.0,8.0,13.0,11.0,9.0,6.0,3.0,,,4.0,,,,,,
Marcus Cannon,,,,,2.0,4.0,4.0,5.0,13.0,,7.0,7.0,,,,,,,,,
Vernon Carey,,,,1.0,7.0,7.0,7.0,9.0,8.0,5.0,,,,,,,,,,,
Gabe Carimi,,,,,6.0,2.0,4.0,,,,,,,,,,,,,,
Anthony Castonzo,,,,4.0,7.0,9.0,9.0,6.0,10.0,6.0,6.0,8.0,7.0,,,,,,,,
Kirk Chambers,,,,,,,1.0,,1.0,3.0,4.0,,,,,,,,,,
Gosder Cherilus,,,,,5.0,6.0,5.0,9.0,7.0,9.0,8.0,6.0,2.0,,,,,,,,
Ryan Clady,,,14.0,13.0,7.0,7.0,17.0,,11.0,,3.0,,,,,,,,,,
Jeromey Clary,,,,,3.0,10.0,6.0,10.0,9.0,6.0,,,,,,,,,,,
Anthony Collins,,,,2.0,3.0,2.0,,,5.0,4.0,,,,,,,,,,,
Marc Colombo,,,,,2.0,,1.0,,10.0,8.0,8.0,4.0,7.0,8.0,,,,,,,
Willie Colon,,,,,8.0,8.0,9.0,,,,,,,,,,,,,,
Tom Compton,,,,,1.0,5.0,2.0,2.0,3.0,,,,4.0,,,,,,,,
Oniel Cousins,,,,,,,2.0,,1.0,2.0,3.0,,,,,,,,,,
Tyrell Crosby,,,,2.0,3.0,6.0,,,,,,,,,,,,,,,
Julie'n Davenport,,,3.0,7.0,3.0,1.0,3.0,,,,,,,,,,,,,,
Anthony Davis,,7.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,
David Diehl,,,,,7.0,,,8.0,13.0,11.0,6.0,8.0,5.0,,,,,,,,
Nat Dorsey,,5.0,1.0,1.0,,,,,,,,,,,,,,,,,
King Dunlap,,,,,,4.0,,5.0,7.0,8.0,,6.0,,,,,,,,,
D'Brickashaw Ferguson,,,,9.0,7.0,8.0,8.0,8.0,8.0,5.0,5.0,7.0,8.0,,,,,,,,
Eric Fisher,,,6.0,8.0,8.0,6.0,9.0,13.0,5.0,11.0,8.0,,,,,,,,,,
Jake Fisher,,,2.0,3.0,3.0,1.0,,,,,,,,,,,,,,,
Ereck Flowers,,8.0,6.0,5.0,3.0,,,,,,,,,,,,,,,,
George Foster,,,,,10.0,10.0,7.0,5.0,,,,,,,,,,,,,
Jason Fox,,,,,,2.0,2.0,5.0,,,,,,,,,,,,,
Orlando Franklin,,,,,6.0,9.0,10.0,,,,,,,,,,,,,,
Doug Free,,,,,,4.0,8.0,9.0,8.0,9.0,5.0,6.0,8.0,,,,,,,,
Robert Gallery,,,,,8.0,8.0,2.0,,,,,,,,,,,,,,
Breno Giacomini,,,,,,,3.0,8.0,5.0,7.0,8.0,,7.0,,,,,,,,
Marcus Gilbert,,,,6.0,,8.0,6.0,8.0,6.0,,,,,,,,,,,,
Cordy Glenn,,,,6.0,7.0,7.0,7.0,6.0,,7.0,,,,,,,,,,,
Joaquin Gonzalez,,,,1.0,2.0,5.0,,,,,,,,,,,,,,,
Jordan Gross,,,,7.0,8.0,9.0,6.0,6.0,15.0,4.0,6.0,8.0,8.0,9.0,,,,,,,
Joe Haeg,,,,9.0,6.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,
Chris Hairston,,,4.0,4.0,,1.0,6.0,3.0,,,,,,,,,,,,,
Kwame Harris,,4.0,3.0,5.0,7.0,1.0,4.0,,,,,,,,,,,,,,
Ryan Harris,,,1.0,9.0,4.0,5.0,,2.0,2.0,7.0,7.0,,,,,,,,,,
Bobby Hart,,1.0,5.0,3.0,8.0,6.0,5.0,,1.0,,,,,,,,,,,,
Mario Henderson,,,,,2.0,5.0,4.0,,,,,,,,,,,,,,
Wayne Hunter,,,,,,,,1.0,1.0,3.0,6.0,3.0,,,,,,,,,
Ja'Wuan James,,,9.0,,7.0,3.0,6.0,,,,,,,,,,,,,,
Charlie Johnson,,,2.0,7.0,10.0,7.0,8.0,8.0,,,,,,,,,,,,,
Adrian Jones,,,,1.0,6.0,1.0,,,,,,,,,,,,,,,
Jamarco Jones,,,,3.0,2.0,2.0,,,,,,,,,,,,,,,
Levi Jones,,,,6.0,9.0,7.0,9.0,,7.0,3.0,4.0,,,,,,,,,,
Nick Kaczur,,,,,,,7.0,6.0,10.0,9.0,8.0,,,,,,,,,,
Matt Kalil,,,,9.0,7.0,7.0,7.0,,7.0,,,,,,,,,,,,
Dennis Kelly,,,4.0,,,2.0,4.0,2.0,3.0,3.0,10.0,3.0,2.0,,,,,,,,
Scott Kooistra,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
Taylor Lewan,,,,3.0,6.0,10.0,10.0,9.0,6.0,,7.0,,,,,,,,,,
Phil Loadholt,,,,8.0,6.0,8.0,7.0,7.0,5.0,,,,,,,,,,,,
Sean Locklear,,,,1.0,8.0,5.0,8.0,5.0,4.0,6.0,2.0,6.0,,,,,,,,,
Jake Long,,,,11.0,13.0,12.0,9.0,5.0,7.0,,,,,,,,,,,,
Daniel Loper,,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,
Bobby Massie,,,,5.0,1.0,7.0,8.0,6.0,6.0,7.0,3.0,4.0,7.0,,,,,,,,
Bryant McKinnie,,,,4.0,10.0,11.0,7.0,6.0,6.0,5.0,12.0,6.0,7.0,1.0,6.0,,,,,,
Marcus McNeill,,,,13.0,9.0,9.0,10.0,7.0,5.0,,,,,,,,,,,,
Jordan Mills,,,,9.0,6.0,3.0,9.0,7.0,5.0,,,2.0,,,,,,,,,
Eugene Monroe,,,6.0,8.0,4.0,6.0,5.0,6.0,,,,,,,,,,,,,
Derek Newton,,,,,1.0,6.0,6.0,8.0,7.0,,,,,,,,,,,,
Michael Oher,,,,8.0,8.0,7.0,7.0,7.0,4.0,7.0,,,,,,,,,,,
Russell Okung,,,4.0,5.0,10.0,4.0,8.0,7.0,6.0,10.0,8.0,,,,,,,,,,
Shane Olivea,,,,10.0,9.0,10.0,4.0,,,,,,,,,,,,,,
Frank Omiyale,,,,,,,1.0,,7.0,2.0,2.0,,,,,,,,,,
Michael Otto,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,
Tony Pashos,,,,,,3.0,7.0,10.0,8.0,,,4.0,,4.0,,,,,,,
Barry Richardson,,,,,7.0,5.0,7.0,,,,,,,,,,,,,,
Will Richardson,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,
Greg Robinson,,,5.0,5.0,4.0,,4.0,6.0,,,,,,,,,,,,,
Michael Roos,,,,7.0,7.0,7.0,13.0,12.0,8.0,7.0,6.0,8.0,,,,,,,,,
Rodger Saffold,,,6.0,2.0,4.0,,,,,,,,,,,,,,,,
Ty Sambrailo,,,,,2.0,2.0,4.0,1.0,4.0,,,,,,,,,,,,
Mitchell Schwartz,,,,7.0,6.0,6.0,6.0,10.0,15.0,19.0,15.0,,,,,,,,,,
Jonathan Scott,,,,3.0,,,3.0,5.0,3.0,3.0,,,,,,,,,,,
Kevin Shaffer,,,,4.0,7.0,8.0,5.0,8.0,5.0,3.0,2.0,,,,,,,,,,
Brandon Shell,,,,,2.0,5.0,5.0,4.0,6.0,5.0,,,,,,,,,,,
Andre Smith,,,,,6.0,8.0,8.0,4.0,8.0,,4.0,3.0,,,,,,,,,
Nate Solder,,,,8.0,11.0,8.0,9.0,,8.0,10.0,8.0,8.0,,6.0,,,,,,,
Joe Staley,,,,5.0,8.0,4.0,4.0,13.0,13.0,13.0,10.0,8.0,5.0,10.0,7.0,,,,,,
Max Starks,,,1.0,9.0,7.0,3.0,6.0,9.0,,5.0,7.0,,,,,,,,,,
Donald Stephenson,,,,,3.0,4.0,1.0,5.0,5.0,,,,,,,,,,,,
David Stewart,,,,,6.0,7.0,11.0,7.0,8.0,7.0,5.0,6.0,,,,,,,,,
Jon Stinchcomb,,,,,,,,8.0,9.0,11.0,12.0,8.0,,,,,,,,,
Zach Strief,,,,,,,,,7.0,6.0,8.0,9.0,9.0,10.0,,,,,,,
Will Svitek,,,,,,2.0,,2.0,1.0,7.0,,2.0,,,,,,,,,
Adam Terry,,,,,2.0,4.0,3.0,,,,,,,,,,,,,,
Sam Tevi,,,,2.0,8.0,7.0,7.0,,,,,,,,,,,,,,
Joe Thomas,,,,11.0,9.0,9.0,12.0,11.0,11.0,11.0,12.0,12.0,8.0,,,,,,,,
Jeremy Trueblood,,,,4.0,8.0,7.0,5.0,4.0,6.0,1.0,5.0,,,,,,,,,,
Tony Ugoh,,,,,7.0,7.0,3.0,,,,,,,,,,,,,,
Jared Veldheer,,,,6.0,8.0,7.0,,7.0,9.0,4.0,5.0,5.0,,,,,,,,,
Sebastian Vollmer,,,,,,5.0,18.0,,10.0,4.0,9.0,8.0,,,,,,,,,
Ricky Wagner,,,,,2.0,9.0,7.0,6.0,6.0,7.0,5.0,6.0,,,,,,,,,
Langston Walker,,,,2.0,4.0,2.0,,4.0,6.0,7.0,,7.0,,,,,,,,,
Seth Wand,,,,,2.0,7.0,1.0,,,,,,,,,,,,,,
J'Marcus Webb,,,5.0,6.0,7.0,1.0,,,2.0,,,4.0,,,,,,,,,
Andrew Whitworth,,,,,,7.0,,,7.0,8.0,7.0,10.0,8.0,12.0,16.0,9.0,14.0,11.0,8.0,4.0,9.0
Daryl Williams,,,,2.0,4.0,12.0,,5.0,9.0,10.0,,,,,,,,,,,
Mike Williams,,,7.0,5.0,7.0,3.0,,,,,,,,,,,,,,,
Eric Winston,,,,3.0,9.0,8.0,8.0,10.0,8.0,5.0,7.0,,2.0,2.0,1.0,,,,,,
Sam Young,,,,,,3.0,1.0,2.0,3.0,1.0,3.0,1.0,,4.0,,,,,,,
